song_id,danceability,duration_ms,energy,acousticness,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
046r9OIF1bHuTeZoyk3b6r,0.541,305360,0.475,0.5220,0,0.144,2,0.081,-10.989,1,0.0378,116.444,0.343
2qxLBLG8wdXiH5vNz1Qmas,0.648,194000,0.677,0.0553,0,0,5,0.277,-6.125,0,0.0404,141.895,0.538
4jKBjyOdVKfmyauxwW8QUs,0.231,298787,0.797,0.1290,0,1.40E-06,7,0.255,-4.699,1,0.0489,153.514,0.336
1ZUwoCWz8rJqzBTwtdscPN,0.276,123720,0.289,0.6620,0,0.982,4,0.096,-14.322,0,0.0339,39.369,0.081
18MbEK3bfXlTBQZSr74afQ,0.807,198973,0.829,0.4410,0,2.28E-06,11,0.124,-6.424,0,0.0338,129.001,0.787
2e2SkLuJ6wagZ1WWDuAX7c,0.511,220062,0.119,0.7970,0,0.00432,9,0.120,-15.349,1,0.0414,134.195,0.076
0wTrY23ot5A0aog0JNzXLS,0.701,156947,0.926,0.1300,0,0.00103,0,0.111,-1.395,1,0.0327,121.944,0.935
3KVp3xFBemY9Z4O7vYNfuf,0.655,251089,0.869,0.1290,0,0,1,0.534,-4.348,1,0.0798,87.089,0.733
6120uJUyg6QDzaAJUosTx5,0.689,250520,0.805,0.0019,0,8.23E-05,2,0.068,-11.199,1,0.0429,140.791,0.914
0D1ExGkm9m5QXklubnFZXp,0.352,169787,0.906,0.0002,0,0,8,0.181,-4.493,1,0.0779,192.118,0.780
6wgd4M4GP6NQr5RRiIO0FR,0.490,81827,0.726,0.0286,0,0.668,6,0.131,-7.977,0,0.0962,129.983,0.157
2auTfKFcoQd7z2uFCeuaww,0.299,221053,0.754,0.0195,0,1.30E-06,5,0.103,-4.078,0,0.0732,169.373,0.295
5nUg4ZcXsUAPie730EgUYK,0.629,264453,0.819,0.2290,1,0.00706,0,0.169,-6.181,1,0.2500,162.048,0.468
2qWmhNijVdy7cWeDfOnqEl,0.255,303866,0.853,0.0000,0,0.608,2,0.197,-5.166,1,0.1860,175.208,0.162
4bLCPfBLKlqiONo6TALTh5,0.399,299240,0.753,0.0059,0,0.128,10,0.366,-3.882,1,0.0375,130.055,0.167
